"","day","temp","dewp","wdsp","NUM_COLLISIONS"
"304",4,51,30.2,5.2,0.602373887240356
"305",5,49.9,41.4,7,0.602373887240356
"306",6,49.9,42,5,0.629080118694362
"307",7,46.9,39.7,13.7,0.928783382789317
"308",2,47.8,38.7,13.7,0.614243323442137
"309",1,47.8,39.9,10.1,0.421364985163205
"310",3,49.2,43.4,5.5,0.55786350148368
"311",4,54.4,49.9,4.5,0.649851632047478
"312",5,59.4,54.7,10.5,0.732937685459941
"313",6,57.2,53.6,6.2,0.679525222551929
"314",7,56.1,51,8.3,0.964391691394659
"315",2,56.2,53.1,9.4,0.445103857566766
"316",1,56.2,53.1,11,0.456973293768546
"317",3,53.1,37.1,11.9,0.605341246290801
"318",4,51,35.3,11.8,0.56973293768546
"319",5,53.1,44.5,12.1,0.471810089020772
"320",6,57.7,50.1,12.5,0.551928783382789
"322",2,54.6,45.2,5.1,0.394658753709199
"323",1,56.3,49.4,6.6,0.507418397626113
"324",3,57.5,54.5,10.3,0.84272997032641
"325",4,58,55.5,7.8,0.961424332344214
"326",5,57.8,55.1,7.1,0.584569732937685
"328",7,61,58.7,14,0.875370919881306
"329",2,55.6,52.3,7.6,0.41839762611276
"330",1,50.2,41.8,13.9,0.243323442136499
"331",3,56.9,42.8,14.1,0.13946587537092
"332",4,56.6,49.6,6.4,0.928783382789317
"333",5,57.9,54.7,10.9,0.596439169139466
"334",6,60.9,56.2,11.6,0.925816023738872
"336",2,60.9,57,10.9,0.765578635014837
"337",1,61.8,58.6,12.6,0.338278931750742
"338",3,60.8,59.8,12.7,0.991097922848665
"339",4,61.8,51,8.7,0.712166172106825
"340",5,58.6,45.6,5.7,0.670623145400593
"341",6,58.6,51,7.5,0.688427299703264
"343",2,62.3,59.6,19.1,0.587537091988131
"344",1,63.6,57.2,8.1,0.474777448071217
"345",3,62.2,56.1,6,0.744807121661721
"346",4,60.8,59.5,13.2,0.777448071216617
"347",5,64,55.9,14,0.718100890207715
"348",6,60.8,52.4,8.7,0.477744807121662
"349",7,55,50.7,18.3,0.949554896142433
"350",2,62.4,52.3,7.4,0.661721068249258
"351",1,61.3,57,9.2,0.308605341246291
"352",3,63.2,59.2,9.1,0.71513353115727
"353",4,60.9,58.6,4.9,0.712166172106825
"354",5,62.6,54.4,12.2,0.738872403560831
"355",6,60.6,53.1,5.6,0.913946587537092
"356",7,62,56.1,8.3,0.940652818991098
"357",2,63.4,58.5,8.2,0.670623145400593
"358",1,64.9,60.9,9,0.391691394658754
"359",3,66.8,64.5,12.1,0.910979228486647
"360",4,69.7,63.8,10.2,0.816023738872404
"361",5,69.5,64.6,9.9,0.735905044510386
"362",6,65.5,64,5.4,0.667655786350148
"363",7,66.1,64.8,12.9,0.697329376854599
"364",2,66.2,64.9,13.7,0.646884272997033
"365",1,65.4,64.2,8.8,0.148367952522255
"366",3,66.7,65.3,10.4,0.771513353115727
"367",4,67.7,65.5,9.5,0.676557863501484
"368",5,68.7,67.2,9.5,0.777448071216617
"369",6,69.8,68,11.9,0.192878338278932
"370",7,71.6,68.2,12.4,0.602373887240356
"371",2,73,69.2,13.1,0.42433234421365
"372",1,74.4,69.8,9.1,0.302670623145401
"373",3,72.6,68.9,10.7,0.724035608308605
"374",4,72.7,69.3,7,0.623145400593472
"375",5,71.1,69.7,7.1,0.71513353115727
"376",6,71.8,69.7,9.5,0.525222551928783
"377",7,69.4,67.8,6.7,0.670623145400593
"378",2,67.9,66.3,6.2,0.599406528189911
"379",1,72.9,70.5,5.3,0.29080118694362
"380",3,76.3,71.2,5.7,0.617210682492582
"381",4,77.4,68.4,7.3,0.620178041543027
"382",5,72.9,65.8,5.6,0.700296735905044
"383",6,75.6,69.6,6.8,0.780415430267062
"384",7,73.9,71.4,9.6,0.961424332344214
"385",2,74.5,71.7,11.8,0.528189910979229
"386",1,72.8,69.1,5.3,0.219584569732938
"387",3,68.3,65.9,5.1,0.646884272997033
"388",4,72.1,70,8.1,0.587537091988131
"389",5,74.9,71.6,8.4,0.587537091988131
"390",6,67.7,62.8,13.8,0.397626112759644
"391",7,66.1,64.4,15,0.724035608308605
"392",2,69.1,66.1,8.8,0.42433234421365
"393",1,69.8,68,6.5,0.332344213649852
"394",3,69.2,67.1,5.3,0.664688427299703
"395",4,71.2,64.3,7.8,0.626112759643917
"396",5,70.6,62.6,6.7,0.534124629080119
"397",6,68.9,64.7,5.3,0.801186943620178
"398",7,69.7,66,8.3,0.750741839762611
"399",2,69.3,66.1,10.9,0.353115727002967
"400",1,69.4,61.9,8.3,0.240356083086053
"401",3,68.1,54.5,12.2,0.510385756676558
"402",4,66.2,54.5,5.3,0.504451038575668
"403",5,64.5,55.9,5.1,0.400593471810089
"404",6,67.8,64,6.7,0.522255192878338
"405",7,70.7,68.8,13.1,0.611275964391691
"406",2,72.4,66.5,11.2,0.362017804154303
"407",1,69.5,56.7,7.5,0.320474777448071
"408",3,68.2,63.2,7.2,0.433234421364985
"409",4,67.8,66.7,3.4,0.531157270029674
"410",5,68.4,59.6,9.6,0.738872403560831
"411",6,67.2,52.7,10.2,0.670623145400593
"412",7,67.4,59.7,8.2,0.905044510385757
"413",2,67.3,59.8,3.2,0.388724035608309
"414",1,64.8,58.4,3.3,0.204747774480712
"415",3,65.5,60.8,8.1,0.264094955489614
"416",4,71,64.7,7,0.501483679525223
"417",5,70.3,66.7,6.5,0.560830860534125
"418",6,70.5,68.9,9.8,0.608308605341246
"419",7,70.6,65,12.1,0.780415430267062
"420",2,66.2,55.2,10.7,0.456973293768546
"421",1,64,54.6,6.7,0.255192878338279
"422",3,68.3,64.1,11.2,0.439169139465875
"423",4,68,66.6,8,0.394658753709199
"424",5,66.4,64.6,6.8,0.323442136498516
"425",6,65.7,63.7,11.3,0.590504451038576
"426",7,65,59.2,10.8,0.670623145400593
"427",2,69.4,67,10.9,0.317507418397626
"428",1,70.7,68.3,10.1,0.317507418397626
"429",3,70.8,68.7,7.7,0.172106824925816
"430",4,70.1,69,6.8,0.528189910979229
"431",5,68.5,61.9,8.8,0.685459940652819
"432",6,67.4,62.1,10.4,0.356083086053412
"433",7,60.3,47.8,5.3,0.448071216617211
"434",2,63.6,50.4,10.2,0.629080118694362
"435",1,68,59.3,13.3,0.376854599406528
"436",3,59.8,42.5,8.2,0.768545994065282
"437",4,65.5,57.5,10.1,0.759643916913947
"438",5,69.9,66.8,10.9,0.602373887240356
"439",6,70.2,67.6,11.4,0.955489614243323
"440",7,69.1,67,8.9,0.827893175074184
"441",2,64.5,57.6,9.1,0.433234421364985
"442",1,61.2,50.7,6.6,0.305637982195846
"443",3,62.4,54.8,7.4,0.584569732937685
"444",4,56.1,43.1,16.3,0.753709198813056
"445",5,56.1,42.7,5.8,0.587537091988131
"446",6,62.4,54.6,9.6,0.483679525222552
"447",7,62.6,58.5,6.2,0.765578635014837
"448",2,63.6,60.3,7.8,0.513353115727003
"449",1,66.3,63.4,9.8,0.629080118694362
"450",3,57.5,44.9,10.4,0.85459940652819
"451",4,54.5,42.7,8.4,0.718100890207715
"452",5,55.3,45.3,4.5,0.492581602373887
"453",6,56.8,46.4,8,0.42433234421365
"454",7,58.1,51.2,11.5,0.534124629080119
"455",2,59.2,50.1,7.4,0.516320474777448
"456",1,54.9,50.1,7.8,0.394658753709199
"457",3,59.5,54.3,10.4,0.688427299703264
"458",4,62.1,51.8,8,0.72106824925816
"459",5,64.8,58.1,8.7,0.813056379821958
"460",6,65.8,56.3,6.5,0.643916913946588
"461",7,62.8,57.5,5.2,0.845697329376855
"462",2,61.3,57.7,4.2,0.367952522255193
"463",1,59.1,54.8,7.2,0.0919881305637982
"464",3,65.7,62.3,11.9,0.72700296735905
"465",4,61.5,51.6,12.2,0.596439169139466
"466",5,56.4,44.3,11.6,0.462908011869436
"467",6,58.4,52.6,11.6,0.551928783382789
"468",7,60.6,56.6,13.3,0.735905044510386
"469",2,58.6,53.4,13.2,0.543026706231454
"470",1,55.1,45.6,11.4,0.382789317507418
"471",3,51.5,44,4.6,0.198813056379822
"472",4,53.9,47.3,6.3,0.718100890207715
"473",5,57.5,55.4,9.3,0.519287833827893
"474",6,59.4,57.4,6.1,0.596439169139466
"475",7,62.3,57,11,0.910979228486647
"476",2,57.3,45,6.2,0.29080118694362
"477",1,58.3,47.4,9.4,0.347181008902077
"478",3,54.4,41.1,7.1,0.72106824925816
"479",4,59.1,52.4,6.1,0.495548961424332
"480",5,52.5,44.6,7.9,0.548961424332344
"481",6,48.4,34.5,10.8,0.768545994065282
"482",7,48,30.2,9.2,0.813056379821958
"483",2,49,32.9,13.7,0.750741839762611
"484",1,54.3,38.7,13.8,0.412462908011869
"485",3,50.7,33,10.3,0.732937685459941
"486",4,47.5,34.1,6.8,0.673590504451039
"487",5,46.8,38.6,5.2,0.548961424332344
"488",6,54.8,50.9,6,0.718100890207715
"489",7,62.3,59.7,18.2,1
"490",2,57.4,55.2,5.6,0.528189910979229
"491",1,49.4,43.7,12,0.124629080118694
"492",3,42,26,13.9,0.845697329376855
"493",4,43.5,30.4,3.9,0.406528189910979
"494",5,46.5,41.4,3.7,0.777448071216617
"495",6,57.8,55.7,11.4,0.810089020771513
"496",7,47.1,32,13.7,0.916913946587537
"497",2,41.7,22.4,12.9,0.587537091988131
"498",1,52.5,39.7,13,0.299703264094956
"499",3,47.1,30.4,15.9,0.246290801186944
"500",4,45.7,36.8,16.5,0.813056379821958
"501",5,33.5,20.7,12.6,0.652818991097923
"502",6,42.8,27.4,14.2,0.732937685459941
"503",7,53,39.1,12.3,0.724035608308605
"504",2,51.2,43.6,6.5,0.70919881305638
"505",1,48.9,45.9,7,0.471810089020772
"506",3,55.9,53.7,13.5,0.706231454005935
"507",4,47,29.2,14,0.673590504451039
"508",5,38,21.5,14.5,0.694362017804154
"509",6,39,26.7,4.9,0.756676557863502
"510",7,46.2,41.9,5.6,0.976261127596439
"511",2,47.3,34.3,9.9,0.483679525222552
"512",1,30.5,9.2,18.3,0.359050445103858
"513",3,27,4.4,15.4,1
"516",6,40.1,28.4,14.9,0.166172106824926
"517",7,31.2,12.9,8.7,0.189910979228487
"518",2,31.3,15.4,6.5,0.314540059347181
"519",1,43.1,35,10.9,0.13946587537092
"520",3,44,42.1,7.1,0.522255192878338
"521",4,41.8,38.2,11.7,0.534124629080119
"522",5,39.8,31.7,6.4,0.43620178041543
"523",6,43.4,40.5,7.4,0.593471810089021
"525",2,39.7,34.5,11.8,0.57566765578635
"526",1,34,19.4,8.8,0.246290801186944
"527",3,40.8,36.3,11.2,0.789317507418398
"528",4,38.8,35.1,9.1,0.492581602373887
"529",5,31.8,20.6,12.8,0.688427299703264
"530",6,28.1,11.3,11.5,0.816023738872404
"531",7,28.1,12,12.7,0.955489614243323
"532",2,26.9,15.8,10.7,0.940652818991098
"533",1,40,37.1,18.9,0.228486646884273
"534",3,32,15.5,12.5,0.792284866468843
"535",4,28.6,15.9,9.6,0.979228486646884
"536",5,35.4,30.1,13,0.973293768545994
"537",6,39.1,27.5,13.8,0.694362017804154
"538",7,42.5,37.5,7.4,0.893175074183976
"539",2,47.6,45.6,9,0.655786350148368
"540",1,51.9,51.2,15.2,0.391691394658754
"541",3,48.7,47.5,6.7,0.991097922848665
"542",4,38.4,34.9,13.4,0.421364985163205
"544",6,33.3,26.8,7.8,0.163204747774481
"545",7,33.1,22.7,10,0.305637982195846
"546",2,39.3,29.8,10.4,0.302670623145401
"547",1,43.2,40.6,7.8,0.0623145400593472
"548",3,42.5,36.9,14.1,0.305637982195846
"549",4,28.5,16.8,10.1,0.27299703264095
"550",5,28.2,10.4,11.3,0.0606060606060606
"551",6,31.1,22.4,10.9,0.622589531680441
"552",7,24.2,20.2,26.9,0.126721763085399
"553",2,18.8,10.9,12.1,0.112947658402204
"555",3,46.3,45.1,14.8,0.388429752066116
"556",4,23.9,10.4,17.6,0.31404958677686
"557",5,18.2,5,12,0.658402203856749
"558",6,23.5,8.3,7.9,0.506887052341598
"559",7,28.8,22.6,5.8,0.798898071625344
"560",2,44.8,43,13.4,0.242424242424242
"561",1,45.1,38.4,14.7,0.0303030303030303
"562",3,38.6,31.2,7.7,0.526170798898072
"563",4,45.5,43.2,11.8,0.50137741046832
"564",5,41.1,38.4,6,0.567493112947658
"565",6,40.8,39.3,5.9,0.396694214876033
"566",7,38.6,35.8,3.7,0.584022038567493
"567",2,38.8,35.8,7.9,0.195592286501377
"568",1,36.1,29,16.5,0.00826446280991736
"571",5,25,20.3,25.7,0.333333333333333
"572",6,16.5,5.1,11.1,0.647382920110193
"573",7,14.8,-0.5,11.8,0.903581267217631
"574",2,32,23,17,0.269972451790634
"575",1,26.8,15.4,17.8,0.242424242424242
"576",3,38.8,32.3,12.3,0.369146005509642
"577",4,22.2,-1.3,10.7,0.349862258953168
"578",5,20.3,10.4,8.1,0.74931129476584
"579",6,22,5.8,8.1,0.771349862258953
