,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,wdsp,NUM_COLLISIONS
119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,57.7,50,11.9,0.089595376
120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,53.9,48.9,8.9,0
121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,49.7,43.2,5.5,0.511560694
122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,47.7,37.4,6,0.193641618
123,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,42.3,27.3,5.5,0.309248555
124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,36.6,17.4,4.8,0.410404624
125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,37.1,27.1,10.1,1
126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,41.2,35.1,15.2,0.514450867
127,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,43.3,25.8,9.6,0.913294798
128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,48,35,2,0.208092486
129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,54.7,45.1,1.6,0.445086705
130,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,56.7,50.2,2.9,0.505780347
131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,52.4,47.5,6.1,0.797687861
132,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,42.8,29.9,7.7,0.731213873
133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,40.4,25,5.3,0.725433526
