"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"118",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,61.9,53.9,4.3,0.439306358381503
"119",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,57.7,50,11.9,0.0895953757225433
"120",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,53.9,48.9,8.9,0
"121",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,49.7,43.2,5.5,0.511560693641618
"122",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,47.7,37.4,6,0.19364161849711
"123",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,42.3,27.3,5.5,0.309248554913295
"124",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,36.6,17.4,4.8,0.410404624277457
"125",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,37.1,27.1,10.1,1
"126",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,41.2,35.1,15.2,0.514450867052023
"127",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,43.3,25.8,9.6,0.913294797687861
"128",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,48,35,2,0.208092485549133
"129",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,54.7,45.1,1.6,0.445086705202312
"130",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,56.7,50.2,2.9,0.505780346820809
"131",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,52.4,47.5,6.1,0.797687861271676
"132",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,42.8,29.9,7.7,0.73121387283237
"133",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,40.4,25,5.3,0.725433526011561
"134",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.9,29.5,5.8,0.867052023121387
"135",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,43.6,27.9,4.7,0.491329479768786
"136",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,43.2,31,5.5,0.213872832369942
"137",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,43,34.8,6.3,0.615606936416185
"138",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,44.4,32.8,3.6,0.864161849710983
